basket,slice,start,end,total_return,max_drawdown,sharpe,winrate,num_round_trades
BTCUSDT_ETHUSDT,slice_2022H1_2023H1,2022-01-01,2023-06-30,0.8375649825847911,-0.467573019598556,0.961495741398673,0.16602316602316602,259
BTCUSDT_ETHUSDT,slice_2023H2_2024H1,2023-07-01,2024-06-30,3.196271521502693,-0.3600687126301909,2.1119979616150024,0.16847826086956522,184
BTCUSDT_ETHUSDT,slice_2024H2_2025Q1,2024-07-01,2025-04-12,0.49446329277867007,-0.2559433313976982,1.1206461175941433,0.23529411764705882,136
BNBUSDT_SOLUSDT,slice_2022H1_2023H1,2022-01-01,2023-06-30,0.41125907202871104,-0.3500300181212066,0.7089229470020627,0.19215686274509805,255
BNBUSDT_SOLUSDT,slice_2023H2_2024H1,2023-07-01,2024-06-30,0.08187666429048224,-0.2873405926562671,0.4013284611807804,0.25,176
BNBUSDT_SOLUSDT,slice_2024H2_2025Q1,2024-07-01,2025-04-12,-0.1997086860697086,-0.3671943690296816,-0.6641998153822029,0.22695035460992907,141
