time,symbol,type,entry,exit,qty,pnl,note
2025-04-21 20:00:00+00:00,ETHUSDT,ENTRY_SHORT,1579.096129,,1.0918849406504196,0.0,vol break short|scale=0.73|regScale=0.80|stopPct=0.0273
2025-04-22 00:00:00+00:00,BTCUSDT,ENTRY_LONG,88183.997265,,0.04961376803174637,0.0,vol break long|scale=1.17|regScale=0.80|stopPct=0.0172
2025-04-22 04:00:00+00:00,BTCUSDT,ENTRY_LONG,88503.373049,,0.07407715861288772,0.0,vol break long|scale=0.97|regScale=1.80|stopPct=0.0185
2025-04-22 04:00:00+00:00,ETHUSDT,STOP_SHORT,1579.096129,1623.2225349999999,1.0918849406504196,-48.18095819642617,
2025-04-22 08:00:00+00:00,ETHUSDT,ENTRY_LONG,1631.519309,,1.2203256140690846,0.0,vol break long|scale=0.54|regScale=1.80|stopPct=0.0335
2025-04-22 12:00:00+00:00,BTCUSDT,PYRAMID_LONG,90961.89038299999,,0.013218653259160126,0.0,trend long|pyramid#1
2025-04-22 16:00:00+00:00,BTCUSDT,PYRAMID_LONG,91442.21443699999,,0.012978504670993634,0.0,trend long|pyramid#2
2025-04-22 16:00:00+00:00,ETHUSDT,ENTRY_LONG,1698.729466,,0.6586572118568882,0.0,vol break long|scale=0.58|regScale=0.80|stopPct=0.0342
2025-04-22 20:00:00+00:00,BTCUSDT,PYRAMID_LONG,93471.022897,,0.010568968289874947,0.0,trend long|pyramid#3
2025-04-22 20:00:00+00:00,ETHUSDT,PYRAMID_LONG,1756.786878,,0.22788362110525065,0.0,vol break long|pyramid#1
2025-04-23 00:00:00+00:00,ETHUSDT,PYRAMID_LONG,1796.0286469999999,,0.20191927900003712,0.0,vol break long|pyramid#2
2025-04-23 04:00:00+00:00,ETHUSDT,PYRAMID_LONG,1792.6476329999998,,0.19609027899977574,0.0,vol break long|pyramid#3
2025-04-24 16:00:00+00:00,BTCUSDT,EXIT,88503.373049,93528.053164,0.07407715861288772,372.2140258578776,CLOSE_BY_SIGNAL
2025-04-25 04:00:00+00:00,ETHUSDT,EXIT,1631.519309,1776.646846,1.2203256140690846,177.1028507078589,CLOSE_BY_SIGNAL
2025-04-26 20:00:00+00:00,ETHUSDT,ENTRY_LONG,1821.426264,,0.846373822786082,0.0,trend long|scale=0.70|regScale=0.70|stopPct=0.0258
2025-04-27 04:00:00+00:00,BTCUSDT,ENTRY_LONG,94094.19979399999,,0.05729575649768268,0.0,trend long|scale=1.31|regScale=0.70|stopPct=0.0138
2025-04-27 20:00:00+00:00,BTCUSDT,EXIT,89745.5319267926,93721.17521,0.08637989425177507,343.4156463862356,CLOSE_BY_SIGNAL
2025-04-27 20:00:00+00:00,BTCUSDT,EXIT,94094.19979399999,93721.17521,0.05729575649768268,-21.37272573251248,CLOSE_BY_SIGNAL
2025-04-28 00:00:00+00:00,ETHUSDT,STOP_LONG,1738.660443939401,1753.235300142857,1.2845503909619518,18.72213723436388,
2025-04-28 00:00:00+00:00,BTCUSDT,ENTRY_LONG,93878.08497899999,,0.09210271247967934,0.0,trend long|scale=1.43|regScale=1.00|stopPct=0.0140
2025-04-28 00:00:00+00:00,ETHUSDT,STOP_LONG,1821.426264,1773.3648309000002,0.846373822786082,-40.67793886142428,
2025-04-28 08:00:00+00:00,ETHUSDT,ENTRY_LONG,1816.74486,,1.013692926240639,0.0,trend long|scale=0.77|regScale=0.70|stopPct=0.0234
2025-04-28 12:00:00+00:00,ETHUSDT,STOP_LONG,1816.74486,1773.2118768000003,1.013692926240639,-44.12907712799233,
2025-04-28 12:00:00+00:00,ETHUSDT,ENTRY_LONG,1763.808984,,0.2859530019974951,0.0,guarded trend pullback long|guard_size_down=0.500|scale=0.48|regScale=1.00|stopPct=0.0416
2025-04-30 12:00:00+00:00,BTCUSDT,STOP_LONG,93878.08497899999,93210.10836177858,0.09210271247967934,-61.522458319092806,
2025-04-30 12:00:00+00:00,ETHUSDT,STOP_LONG,1763.808984,1742.0931437928573,0.2859530019974951,-6.209709698130367,
2025-05-03 04:00:00+00:00,BTCUSDT,ENTRY_LONG,96351.576804,,0.061356893225121306,0.0,trend long|scale=1.19|regScale=1.00|stopPct=0.0168
2025-05-03 16:00:00+00:00,BTCUSDT,ENTRY_LONG,96383.246302,,0.07282394095377914,0.0,trend long|scale=1.51|regScale=0.70|stopPct=0.0119
2025-05-03 20:00:00+00:00,BTCUSDT,EXIT,96351.576804,95827.663074,0.061356893225121306,-32.14571879078505,CLOSE_BY_SIGNAL
