time,equity,drawdown
2025-04-12 00:00:00+00:00,10000.0,0.0
2025-04-12 04:00:00+00:00,10000.0,0.0
2025-04-12 08:00:00+00:00,10000.0,0.0
2025-04-12 12:00:00+00:00,10000.0,0.0
2025-04-12 16:00:00+00:00,10000.0,0.0
2025-04-12 20:00:00+00:00,10000.0,0.0
2025-04-13 00:00:00+00:00,10000.0,0.0
2025-04-13 04:00:00+00:00,10000.0,0.0
2025-04-13 08:00:00+00:00,10000.0,0.0
2025-04-13 12:00:00+00:00,10000.0,0.0
2025-04-13 16:00:00+00:00,10000.0,0.0
2025-04-13 20:00:00+00:00,10000.0,0.0
2025-04-14 00:00:00+00:00,10000.0,0.0
2025-04-14 04:00:00+00:00,10000.0,0.0
2025-04-14 08:00:00+00:00,10000.0,0.0
2025-04-14 12:00:00+00:00,10000.0,0.0
2025-04-14 16:00:00+00:00,10000.0,0.0
2025-04-14 20:00:00+00:00,10000.0,0.0
2025-04-15 00:00:00+00:00,10000.0,0.0
2025-04-15 04:00:00+00:00,10000.0,0.0
2025-04-15 08:00:00+00:00,10000.0,0.0
2025-04-15 12:00:00+00:00,10000.0,0.0
2025-04-15 16:00:00+00:00,10000.0,0.0
2025-04-15 20:00:00+00:00,10000.0,0.0
2025-04-16 00:00:00+00:00,10000.0,0.0
2025-04-16 04:00:00+00:00,10000.0,0.0
2025-04-16 08:00:00+00:00,10000.0,0.0
2025-04-16 12:00:00+00:00,10000.0,0.0
2025-04-16 16:00:00+00:00,10000.0,0.0
2025-04-16 20:00:00+00:00,10000.0,0.0
2025-04-17 00:00:00+00:00,10000.0,0.0
2025-04-17 04:00:00+00:00,10000.0,0.0
2025-04-17 08:00:00+00:00,10000.0,0.0
2025-04-17 12:00:00+00:00,10000.0,0.0
2025-04-17 16:00:00+00:00,10000.0,0.0
2025-04-17 20:00:00+00:00,10000.0,0.0
2025-04-18 00:00:00+00:00,10000.0,0.0
2025-04-18 04:00:00+00:00,10000.0,0.0
2025-04-18 08:00:00+00:00,10000.0,0.0
2025-04-18 12:00:00+00:00,10000.0,0.0
2025-04-18 16:00:00+00:00,10000.0,0.0
2025-04-18 20:00:00+00:00,10000.0,0.0
2025-04-19 00:00:00+00:00,10000.0,0.0
2025-04-19 04:00:00+00:00,10000.0,0.0
2025-04-19 08:00:00+00:00,10000.0,0.0
2025-04-19 12:00:00+00:00,10000.0,0.0
2025-04-19 16:00:00+00:00,10000.0,0.0
2025-04-19 20:00:00+00:00,10000.0,0.0
2025-04-20 00:00:00+00:00,10000.0,0.0
2025-04-20 04:00:00+00:00,10000.0,0.0
2025-04-20 08:00:00+00:00,10000.0,0.0
2025-04-20 12:00:00+00:00,10000.0,0.0
2025-04-20 16:00:00+00:00,10000.0,0.0
2025-04-20 20:00:00+00:00,10000.0,0.0
2025-04-21 00:00:00+00:00,10000.0,0.0
2025-04-21 04:00:00+00:00,10000.0,0.0
2025-04-21 08:00:00+00:00,10000.0,0.0
2025-04-21 12:00:00+00:00,10000.0,0.0
2025-04-21 16:00:00+00:00,10000.0,0.0
2025-04-21 20:00:00+00:00,9998.714896719077,-0.00012851032809235718
2025-04-22 00:00:00+00:00,9995.723223270943,-0.0004276776729057463
2025-04-22 04:00:00+00:00,9959.0783084998,-0.004092169150019975
2025-04-22 08:00:00+00:00,9974.393799142672,-0.0025606200857327677
2025-04-22 12:00:00+00:00,10336.5870080959,0.0
2025-04-22 16:00:00+00:00,10393.814432002573,0.0
2025-04-22 20:00:00+00:00,10797.547596845638,0.0
2025-04-23 00:00:00+00:00,10831.168114991884,0.0
2025-04-23 04:00:00+00:00,10977.395871809054,0.0
2025-04-23 08:00:00+00:00,10883.903947478526,-0.008516767129681857
2025-04-23 12:00:00+00:00,10831.83249502808,-0.013260283083604052
2025-04-23 16:00:00+00:00,10858.010806431093,-0.010875536126427998
2025-04-23 20:00:00+00:00,10910.33608939622,-0.006108897155203241
2025-04-24 00:00:00+00:00,10688.731265687346,-0.02629627367844367
2025-04-24 04:00:00+00:00,10587.38831143343,-0.03552824047980263
2025-04-24 08:00:00+00:00,10648.02053220176,-0.030004870322037025
2025-04-24 12:00:00+00:00,10760.976971077047,-0.01971495819767155
2025-04-24 16:00:00+00:00,10807.15156425221,-0.015508624226083234
2025-04-24 20:00:00+00:00,10859.573936032804,-0.0107331408243031
2025-04-25 00:00:00+00:00,10782.045907648553,-0.01779565631427915
2025-04-25 04:00:00+00:00,10860.957839669132,-0.01060707234207936
2025-04-25 08:00:00+00:00,10963.955297004522,-0.0012243864538992177
